wav,frame_idx,time_s,token,label,prob,pred
./chunk_4Tanya/chunk_4.wav,16,0.432,ग,1,0.6342008113861084,0
./chunk_4Tanya/chunk_4.wav,17,0.459,ग,0,0.10087869316339493,0
./chunk_4Tanya/chunk_4.wav,18,0.486,अ,0,0.11725785583257675,0
./chunk_4Tanya/chunk_4.wav,19,0.513,अ,0,0.45623520016670227,0
./chunk_4Tanya/chunk_4.wav,20,0.54,अ,0,0.6162044405937195,0
./chunk_4Tanya/chunk_4.wav,21,0.567,अ,0,0.5952008962631226,0
./chunk_4Tanya/chunk_4.wav,22,0.594,ज,1,0.8537658452987671,1
./chunk_4Tanya/chunk_4.wav,23,0.621,ज,0,0.1399078667163849,0
./chunk_4Tanya/chunk_4.wav,24,0.648,इ,0,0.07274510711431503,0
./chunk_4Tanya/chunk_4.wav,25,0.675,इ,0,0.5634863376617432,0
./chunk_4Tanya/chunk_4.wav,26,0.702,न,1,0.8136640787124634,1
./chunk_4Tanya/chunk_4.wav,27,0.729,न,0,0.8372873067855835,1
./chunk_4Tanya/chunk_4.wav,28,0.756,द,0,0.5265478491783142,0
./chunk_4Tanya/chunk_4.wav,29,0.783,द,0,0.41358447074890137,0
./chunk_4Tanya/chunk_4.wav,30,0.8099999999999999,र,0,0.4763399660587311,0
./chunk_4Tanya/chunk_4.wav,31,0.837,र,0,0.6756888628005981,0
./chunk_4Tanya/chunk_4.wav,32,0.864,क,0,0.6643940806388855,0
./chunk_4Tanya/chunk_4.wav,33,0.891,क,0,0.2721993029117584,0
./chunk_4Tanya/chunk_4.wav,34,0.918,ए,0,0.05617194622755051,0
./chunk_4Tanya/chunk_4.wav,35,0.945,ए,0,0.07798083126544952,0
./chunk_4Tanya/chunk_4.wav,36,0.972,ए,0,0.8339114785194397,1
./chunk_4Tanya/chunk_4.wav,37,0.999,ए,0,0.8803259134292603,1
./chunk_4Tanya/chunk_4.wav,38,1.026,च,1,0.8476439118385315,1
./chunk_4Tanya/chunk_4.wav,39,1.053,च,0,0.46592414379119873,0
./chunk_4Tanya/chunk_4.wav,40,1.08,च,0,0.4732590913772583,0
./chunk_4Tanya/chunk_4.wav,41,1.107,ए,0,0.09434469789266586,0
./chunk_4Tanya/chunk_4.wav,42,1.134,ए,0,0.1373186856508255,0
./chunk_4Tanya/chunk_4.wav,43,1.161,ह,1,0.8182121515274048,1
./chunk_4Tanya/chunk_4.wav,44,1.188,ह,0,0.400785893201828,0
./chunk_4Tanya/chunk_4.wav,45,1.215,र,0,0.6412676572799683,0
./chunk_4Tanya/chunk_4.wav,46,1.242,र,0,0.38191458582878113,0
./chunk_4Tanya/chunk_4.wav,47,1.269,ए,0,0.37379029393196106,0
./chunk_4Tanya/chunk_4.wav,48,1.296,ए,0,0.40590545535087585,0
./chunk_4Tanya/chunk_4.wav,49,1.323,ए,0,0.5784163475036621,0
./chunk_4Tanya/chunk_4.wav,50,1.35,क,1,0.8474018573760986,1
./chunk_4Tanya/chunk_4.wav,51,1.377,क,0,0.5841328501701355,0
./chunk_4Tanya/chunk_4.wav,52,1.404,क,0,0.6014458537101746,0
./chunk_4Tanya/chunk_4.wav,53,1.431,क,0,0.12418530136346817,0
./chunk_4Tanya/chunk_4.wav,54,1.458,अ,0,0.12301938235759735,0
